Brand,Model,Year,Price,Trim,Image Paths,Length (mm),Width (mm),Height (mm),Wheelbase (mm),Number of Seats,Combined Maximum Power (HP @ RPM),Combined Maximum Torque (N.m @ RPM),Maximum Speed (Km/h),Acceleration (0 - 100 km/h),Fuel Tank Capacity (Litre),Combined Fuel/Energy Consumption (Liter/100 KM),Cylinders,Recommend Fuel Grade,Number of Gears
Arcfox,KOALA S,2026.0,1199900,Pro,images\Arcfox KOALA S 2026\car_img_1.jpg; images\Arcfox KOALA S 2026\car_img_2.jpg; images\Arcfox KOALA S 2026\car_img_3.jpg; images\Arcfox KOALA S 2026\car_img_4.jpg; images\Arcfox KOALA S 2026\car_img_5.jpg; images\Arcfox KOALA S 2026\car_img_6.jpg; images\Arcfox KOALA S 2026\car_img_7.jpg; images\Arcfox KOALA S 2026\car_img_8.jpg; images\Arcfox KOALA S 2026\car_img_9.jpg; images\Arcfox KOALA S 2026\car_img_10.jpg; images\Arcfox KOALA S 2026\car_img_11.jpg; images\Arcfox KOALA S 2026\car_img_12.jpg; images\Arcfox KOALA S 2026\car_img_13.jpg; images\Arcfox KOALA S 2026\car_img_14.jpg; images\Arcfox KOALA S 2026\car_img_15.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,KOALA S,2026.0,1124900,Air,images\Arcfox KOALA S 2026\car_img_1.jpg; images\Arcfox KOALA S 2026\car_img_2.jpg; images\Arcfox KOALA S 2026\car_img_3.jpg; images\Arcfox KOALA S 2026\car_img_4.jpg; images\Arcfox KOALA S 2026\car_img_5.jpg; images\Arcfox KOALA S 2026\car_img_6.jpg; images\Arcfox KOALA S 2026\car_img_7.jpg; images\Arcfox KOALA S 2026\car_img_8.jpg; images\Arcfox KOALA S 2026\car_img_9.jpg; images\Arcfox KOALA S 2026\car_img_10.jpg; images\Arcfox KOALA S 2026\car_img_11.jpg; images\Arcfox KOALA S 2026\car_img_12.jpg; images\Arcfox KOALA S 2026\car_img_13.jpg; images\Arcfox KOALA S 2026\car_img_14.jpg; images\Arcfox KOALA S 2026\car_img_15.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,T 1,2026.0,849900,Plus,images\Arcfox T 1 2026\car_img_1.jpg; images\Arcfox T 1 2026\car_img_2.jpg; images\Arcfox T 1 2026\car_img_3.jpg; images\Arcfox T 1 2026\car_img_4.jpg; images\Arcfox T 1 2026\car_img_5.jpg; images\Arcfox T 1 2026\car_img_6.jpg; images\Arcfox T 1 2026\car_img_7.jpg; images\Arcfox T 1 2026\car_img_8.jpg; images\Arcfox T 1 2026\car_img_9.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,T 1,2026.0,789900,Pro,images\Arcfox T 1 2026\car_img_1.jpg; images\Arcfox T 1 2026\car_img_2.jpg; images\Arcfox T 1 2026\car_img_3.jpg; images\Arcfox T 1 2026\car_img_4.jpg; images\Arcfox T 1 2026\car_img_5.jpg; images\Arcfox T 1 2026\car_img_6.jpg; images\Arcfox T 1 2026\car_img_7.jpg; images\Arcfox T 1 2026\car_img_8.jpg; images\Arcfox T 1 2026\car_img_9.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,A3,2026.0,2300000,Sportback S-Line,images\Audi A3 2026\car_img_1.jpg; images\Audi A3 2026\car_img_2.jpg; images\Audi A3 2026\car_img_3.jpg; images\Audi A3 2026\car_img_4.jpg; images\Audi A3 2026\car_img_5.jpg; images\Audi A3 2026\car_img_6.jpg; images\Audi A3 2026\car_img_7.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,A3,2026.0,2400000,Sedan S-Line,images\Audi A3 2026\car_img_1.jpg; images\Audi A3 2026\car_img_2.jpg; images\Audi A3 2026\car_img_3.jpg; images\Audi A3 2026\car_img_4.jpg; images\Audi A3 2026\car_img_5.jpg; images\Audi A3 2026\car_img_6.jpg; images\Audi A3 2026\car_img_7.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,A5,2025.0,4400000,S-Line Plus,images\Audi A5 2025\car_img_1.jpg; images\Audi A5 2025\car_img_2.jpg; images\Audi A5 2025\car_img_3.jpg; images\Audi A5 2025\car_img_4.jpg; images\Audi A5 2025\car_img_5.jpg; images\Audi A5 2025\car_img_6.jpg; images\Audi A5 2025\car_img_7.jpg; images\Audi A5 2025\car_img_8.jpg; images\Audi A5 2025\car_img_9.jpg; images\Audi A5 2025\car_img_10.jpg; images\Audi A5 2025\car_img_11.jpg; images\Audi A5 2025\car_img_12.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,A5,2025.0,3375000,Advanced,images\Audi A5 2025\car_img_1.jpg; images\Audi A5 2025\car_img_2.jpg; images\Audi A5 2025\car_img_3.jpg; images\Audi A5 2025\car_img_4.jpg; images\Audi A5 2025\car_img_5.jpg; images\Audi A5 2025\car_img_6.jpg; images\Audi A5 2025\car_img_7.jpg; images\Audi A5 2025\car_img_8.jpg; images\Audi A5 2025\car_img_9.jpg; images\Audi A5 2025\car_img_10.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,A5,2025.0,3850000,S-Line,images\Audi A5 2025\car_img_1.jpg; images\Audi A5 2025\car_img_2.jpg; images\Audi A5 2025\car_img_3.jpg; images\Audi A5 2025\car_img_4.jpg; images\Audi A5 2025\car_img_5.jpg; images\Audi A5 2025\car_img_6.jpg; images\Audi A5 2025\car_img_7.jpg; images\Audi A5 2025\car_img_8.jpg; images\Audi A5 2025\car_img_9.jpg; images\Audi A5 2025\car_img_10.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audi,A6,2024.0,4300000,2.0 A/T S-Line,images\Audi A6 2024\car_img_1.jpg; images\Audi A6 2024\car_img_2.jpg; images\Audi A6 2024\car_img_3.jpg; images\Audi A6 2024\car_img_4.jpg; images\Audi A6 2024\car_img_5.jpg; images\Audi A6 2024\car_img_6.jpg; images\Audi A6 2024\car_img_7.jpg,4733.0,1477.0,1386.0,2824.0,5.0,190/4200-6000,320/1450-4200,250,7٫9,63.0,6٫5,4.0,95.0,7.0
