Brand,Model,Year,Price,Trim,Image_Paths,Transmission,Fuel_Type,Body_Type,Engine_Capacity,Horsepower,Torque,Max_Speed,Acceleration,Width,Length,Height,Wheelbase,Seats,Cylinders,Fuel_Tank,Number_of_Gears,Fuel_Consumption
Arcfox,Alpha S5,2026,1499900,Air,images\Arcfox Alpha S5 2026\car_img_1.jpg; images\Arcfox Alpha S5 2026\car_img_2.jpg; images\Arcfox Alpha S5 2026\car_img_3.jpg; images\Arcfox Alpha S5 2026\car_img_4.jpg; images\Arcfox Alpha S5 2026\car_img_5.jpg; images\Arcfox Alpha S5 2026\car_img_6.jpg; images\Arcfox Alpha S5 2026\car_img_7.jpg; images\Arcfox Alpha S5 2026\car_img_8.jpg; images\Arcfox_Alpha_S5_Air_74861\img_1.jpg; images\Arcfox_Alpha_S5_Air_74861\img_2.png; images\Arcfox_Alpha_S5_Air_74861\img_3.jpg; images\Arcfox_Alpha_S5_Air_74861\img_4.jpg; images\Arcfox_Alpha_S5_Air_74861\img_5.jpg; images\Arcfox_Alpha_S5_Air_74861\img_6.jpg; images\Arcfox_Alpha_S5_Air_74861\img_7.jpg; images\Arcfox_Alpha_S5_Air_74861\img_8.jpg; images\Arcfox_Alpha_S5_Air_74861\img_9.jpg,Automatic,Electric,Sedan,,268,360,,,"1,930","4,820","1,480",2900,5,,,,
Arcfox,Alpha S5,2026,1649900,Pro,images\Arcfox Alpha S5 2026\car_img_1.jpg; images\Arcfox Alpha S5 2026\car_img_2.jpg; images\Arcfox Alpha S5 2026\car_img_3.jpg; images\Arcfox Alpha S5 2026\car_img_4.jpg; images\Arcfox Alpha S5 2026\car_img_5.jpg; images\Arcfox Alpha S5 2026\car_img_6.jpg; images\Arcfox Alpha S5 2026\car_img_7.jpg; images\Arcfox Alpha S5 2026\car_img_8.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_1.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_2.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_3.png; images\Arcfox_Alpha_S5_Pro_78536\img_4.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_5.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_6.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_7.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_8.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_9.jpg,Automatic,Electric,Sedan,,523,,,,"1,930","4,820","1,480",2900,5,,,,
Arcfox,Alpha T5,2026,1599900,Air,images\Arcfox Alpha T5 2026\car_img_1.jpg; images\Arcfox Alpha T5 2026\car_img_2.jpg; images\Arcfox Alpha T5 2026\car_img_3.jpg; images\Arcfox Alpha T5 2026\car_img_4.jpg; images\Arcfox Alpha T5 2026\car_img_5.jpg; images\Arcfox Alpha T5 2026\car_img_6.jpg; images\Arcfox Alpha T5 2026\car_img_7.jpg; images\Arcfox Alpha T5 2026\car_img_8.jpg; images\Arcfox Alpha T5 2026\car_img_9.jpg; images\Arcfox_Alpha_T5_Air_82449\img_1.jpg; images\Arcfox_Alpha_T5_Air_82449\img_2.jpg; images\Arcfox_Alpha_T5_Air_82449\img_3.jpg; images\Arcfox_Alpha_T5_Air_82449\img_4.jpg; images\Arcfox_Alpha_T5_Air_82449\img_5.jpg; images\Arcfox_Alpha_T5_Air_82449\img_6.jpg; images\Arcfox_Alpha_T5_Air_82449\img_7.jpg; images\Arcfox_Alpha_T5_Air_82449\img_8.png; images\Arcfox_Alpha_T5_Air_82449\img_9.jpg,Automatic,Electric,SUV,,248,360,,,"1,936","4,690","1,650",2845,5,,,,
Arcfox,Alpha T5,2026,1749900,Pro,images\Arcfox Alpha T5 2026\car_img_1.jpg; images\Arcfox Alpha T5 2026\car_img_2.jpg; images\Arcfox Alpha T5 2026\car_img_3.jpg; images\Arcfox Alpha T5 2026\car_img_4.jpg; images\Arcfox Alpha T5 2026\car_img_5.jpg; images\Arcfox Alpha T5 2026\car_img_6.jpg; images\Arcfox Alpha T5 2026\car_img_7.jpg; images\Arcfox Alpha T5 2026\car_img_8.jpg; images\Arcfox Alpha T5 2026\car_img_9.jpg; images\Arcfox Alpha T5 2026\car_img_10.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_1.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_2.png; images\Arcfox_Alpha_T5_Pro_69470\img_3.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_4.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_5.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_6.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_7.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_8.jpg; images\Arcfox_Alpha_T5_Pro_69470\img_9.jpg,Automatic,Electric,SUV,,268,360,,,"1,936","4,690","1,650",2845,5,,,,
Arcfox,Koala S,2026,1124900,Air,images\Arcfox KOALA S 2026\car_img_1.jpg; images\Arcfox KOALA S 2026\car_img_2.jpg; images\Arcfox KOALA S 2026\car_img_3.jpg; images\Arcfox KOALA S 2026\car_img_4.jpg; images\Arcfox KOALA S 2026\car_img_5.jpg; images\Arcfox KOALA S 2026\car_img_6.jpg; images\Arcfox KOALA S 2026\car_img_7.jpg; images\Arcfox KOALA S 2026\car_img_8.jpg; images\Arcfox KOALA S 2026\car_img_9.jpg; images\Arcfox KOALA S 2026\car_img_10.jpg; images\Arcfox KOALA S 2026\car_img_11.jpg; images\Arcfox KOALA S 2026\car_img_12.jpg; images\Arcfox KOALA S 2026\car_img_13.jpg; images\Arcfox KOALA S 2026\car_img_14.jpg; images\Arcfox KOALA S 2026\car_img_15.jpg; images\Arcfox_Kaola_S_Air_73813\img_1.jpg; images\Arcfox_Kaola_S_Air_73813\img_2.jpg; images\Arcfox_Kaola_S_Air_73813\img_3.jpg; images\Arcfox_Kaola_S_Air_73813\img_4.jpg; images\Arcfox_Kaola_S_Air_73813\img_5.jpg; images\Arcfox_Kaola_S_Air_73813\img_6.jpg; images\Arcfox_Kaola_S_Air_73813\img_7.jpg; images\Arcfox_Kaola_S_Air_73813\img_8.jpg,Automatic,Electric,MiniVans,,161,240,,11,"1,870","4,500","1,655",2820,5,,,,
Arcfox,Koala S,2026,1199900,Pro,images\Arcfox KOALA S 2026\car_img_1.jpg; images\Arcfox KOALA S 2026\car_img_2.jpg; images\Arcfox KOALA S 2026\car_img_3.jpg; images\Arcfox KOALA S 2026\car_img_4.jpg; images\Arcfox KOALA S 2026\car_img_5.jpg; images\Arcfox KOALA S 2026\car_img_6.jpg; images\Arcfox KOALA S 2026\car_img_7.jpg; images\Arcfox KOALA S 2026\car_img_8.jpg; images\Arcfox KOALA S 2026\car_img_9.jpg; images\Arcfox KOALA S 2026\car_img_10.jpg; images\Arcfox KOALA S 2026\car_img_11.jpg; images\Arcfox KOALA S 2026\car_img_12.jpg; images\Arcfox KOALA S 2026\car_img_13.jpg; images\Arcfox KOALA S 2026\car_img_14.jpg; images\Arcfox KOALA S 2026\car_img_15.jpg; images\Arcfox_Kaola_S_Pro_76829\img_1.jpg; images\Arcfox_Kaola_S_Pro_76829\img_2.jpg; images\Arcfox_Kaola_S_Pro_76829\img_3.jpg; images\Arcfox_Kaola_S_Pro_76829\img_4.jpg; images\Arcfox_Kaola_S_Pro_76829\img_5.jpg; images\Arcfox_Kaola_S_Pro_76829\img_6.jpg; images\Arcfox_Kaola_S_Pro_76829\img_7.jpg; images\Arcfox_Kaola_S_Pro_76829\img_8.jpg,Automatic,Electric,MiniVans,,161,240,,11,"1,870","4,500","1,655",2820,5,,,,
Arcfox,T1,2026,849900,Plus,images\Arcfox T 1 2026\car_img_1.jpg; images\Arcfox T 1 2026\car_img_2.jpg; images\Arcfox T 1 2026\car_img_3.jpg; images\Arcfox T 1 2026\car_img_4.jpg; images\Arcfox T 1 2026\car_img_5.jpg; images\Arcfox T 1 2026\car_img_6.jpg; images\Arcfox T 1 2026\car_img_7.jpg; images\Arcfox T 1 2026\car_img_8.jpg; images\Arcfox T 1 2026\car_img_9.jpg; images\Arcfox_T1_Plus_83702\img_1.png; images\Arcfox_T1_Plus_83702\img_2.png; images\Arcfox_T1_Plus_83702\img_3.png; images\Arcfox_T1_Plus_83702\img_4.png; images\Arcfox_T1_Plus_83702\img_5.png; images\Arcfox_T1_Plus_83702\img_6.png; images\Arcfox_T1_Plus_83702\img_7.png; images\Arcfox_T1_Plus_83702\img_8.png,Automatic,Electric,,,95,176,,,"1,860","4,337","1,572",2770,5,,,,
Arcfox,T1,2026,789900,Pro,images\Arcfox T 1 2026\car_img_1.jpg; images\Arcfox T 1 2026\car_img_2.jpg; images\Arcfox T 1 2026\car_img_3.jpg; images\Arcfox T 1 2026\car_img_4.jpg; images\Arcfox T 1 2026\car_img_5.jpg; images\Arcfox T 1 2026\car_img_6.jpg; images\Arcfox T 1 2026\car_img_7.jpg; images\Arcfox T 1 2026\car_img_8.jpg; images\Arcfox T 1 2026\car_img_9.jpg; images\Arcfox_T1_Pro_80081\img_1.png; images\Arcfox_T1_Pro_80081\img_2.png; images\Arcfox_T1_Pro_80081\img_3.png; images\Arcfox_T1_Pro_80081\img_4.png; images\Arcfox_T1_Pro_80081\img_5.png; images\Arcfox_T1_Pro_80081\img_6.png; images\Arcfox_T1_Pro_80081\img_7.png; images\Arcfox_T1_Pro_80081\img_8.png,Automatic,Electric,,,95,176,,,"1,860","4,337","1,572",2770,5,,,,
Audi,A3,2025,2350000,S-Line,images\Audi_A3_S-Line_73855\img_1.jpg; images\Audi_A3_S-Line_73855\img_2.jpg; images\Audi_A3_S-Line_73855\img_3.jpg; images\Audi_A3_S-Line_73855\img_4.jpg; images\Audi_A3_S-Line_73855\img_5.jpg; images\Audi_A3_S-Line_73855\img_6.jpg; images\Audi_A3_S-Line_73855\img_7.png; images\Audi_A3_S-Line_73855\img_8.jpg; images\Audi_A3_S-Line_73855\img_9.jpg; images\Audi_A3_S-Line_73855\img_10.jpg; images\Audi_A3_S-Line_73855\img_11.jpg,automatic,gas,Sedan,1400,150,250,,8.4,"1,816","4,495","1,425",2636,5,4,50,8,4.9
Audi,A3,2025,2250000,Sport Back,images\Audi_A3_Sport_back_78235\img_1.jpg; images\Audi_A3_Sport_back_78235\img_2.jpg; images\Audi_A3_Sport_back_78235\img_3.jpg; images\Audi_A3_Sport_back_78235\img_4.jpg,automatic,gas,Sedan,1400,150,250,,8.4,0,,,,5,4,50,8,4.9
Audi,A3,2026,2400000,S-Line,images\Audi_A3_S-Line_80514\img_1.png; images\Audi_A3_S-Line_80514\img_2.jpg; images\Audi_A3_S-Line_80514\img_3.jpg; images\Audi_A3_S-Line_80514\img_4.jpg; images\Audi_A3_S-Line_80514\img_5.jpg; images\Audi_A3_S-Line_80514\img_6.jpg; images\Audi_A3_S-Line_80514\img_7.jpg; images\Audi_A3_S-Line_80514\img_8.jpg; images\Audi_A3_S-Line_80514\img_9.jpg,automatic,gas,Sedan,1400,150,250,,8.4,"1,816","4,495","1,425",2636,5,4,50,8,4.9
Audi,A3,2026,2400000,Sedan S-Line,images\Audi A3 2026\car_img_1.jpg; images\Audi A3 2026\car_img_2.jpg; images\Audi A3 2026\car_img_3.jpg; images\Audi A3 2026\car_img_4.jpg; images\Audi A3 2026\car_img_5.jpg; images\Audi A3 2026\car_img_6.jpg; images\Audi A3 2026\car_img_7.jpg,Automatic,gas,Sedan,,,,,,,,,,,,,,
Audi,A3,2026,2300000,Sportback S-Line,images\Audi A3 2026\car_img_1.jpg; images\Audi A3 2026\car_img_2.jpg; images\Audi A3 2026\car_img_3.jpg; images\Audi A3 2026\car_img_4.jpg; images\Audi A3 2026\car_img_5.jpg; images\Audi A3 2026\car_img_6.jpg; images\Audi A3 2026\car_img_7.jpg,Automatic,gas,Sedan,,,,,,,,,,,,,,
Audi,A4,2024,2750000,S-Line Plus,images\Audi_A4_S_Line_Plus_87264\img_1.jpg; images\Audi_A4_S_Line_Plus_87264\img_2.jpg; images\Audi_A4_S_Line_Plus_87264\img_3.jpg; images\Audi_A4_S_Line_Plus_87264\img_4.png; images\Audi_A4_S_Line_Plus_87264\img_5.jpg; images\Audi_A4_S_Line_Plus_87264\img_6.jpg; images\Audi_A4_S_Line_Plus_87264\img_7.jpg; images\Audi_A4_S_Line_Plus_87264\img_8.jpg; images\Audi_A4_S_Line_Plus_87264\img_9.jpg; images\Audi_A4_S_Line_Plus_87264\img_10.jpg,automatic,gas,Sedan,2000,190,270,,8.6,"1,847","4,672","1,428",,5,4,75,7,6.5
Audi,A5,2025,3375000,Advanced,images\Audi A5 2025\car_img_1.jpg; images\Audi A5 2025\car_img_2.jpg; images\Audi A5 2025\car_img_3.jpg; images\Audi A5 2025\car_img_4.jpg; images\Audi A5 2025\car_img_5.jpg; images\Audi A5 2025\car_img_6.jpg; images\Audi A5 2025\car_img_7.jpg; images\Audi A5 2025\car_img_8.jpg; images\Audi A5 2025\car_img_9.jpg; images\Audi A5 2025\car_img_10.jpg; images\Audi_A5_Advanced_89084\img_1.jpg; images\Audi_A5_Advanced_89084\img_2.jpg; images\Audi_A5_Advanced_89084\img_3.jpg; images\Audi_A5_Advanced_89084\img_4.jpg; images\Audi_A5_Advanced_89084\img_5.jpg; images\Audi_A5_Advanced_89084\img_6.png; images\Audi_A5_Advanced_89084\img_7.jpg; images\Audi_A5_Advanced_89084\img_8.jpg; images\Audi_A5_Advanced_89084\img_9.jpg; images\Audi_A5_Advanced_89084\img_10.jpg,Automatic,gas,Sedan,2000,196,340,,7.8,,,,,5,4,,7,
Audi,A5,2025,3850000,S-Line,images\Audi A5 2025\car_img_1.jpg; images\Audi A5 2025\car_img_2.jpg; images\Audi A5 2025\car_img_3.jpg; images\Audi A5 2025\car_img_4.jpg; images\Audi A5 2025\car_img_5.jpg; images\Audi A5 2025\car_img_6.jpg; images\Audi A5 2025\car_img_7.jpg; images\Audi A5 2025\car_img_8.jpg; images\Audi A5 2025\car_img_9.jpg; images\Audi A5 2025\car_img_10.jpg,Automatic,gas,Sedan,,,,,,,,,,,,,,
Audi,A5,2025,4400000,S-Line Plus,images\Audi A5 2025\car_img_1.jpg; images\Audi A5 2025\car_img_2.jpg; images\Audi A5 2025\car_img_3.jpg; images\Audi A5 2025\car_img_4.jpg; images\Audi A5 2025\car_img_5.jpg; images\Audi A5 2025\car_img_6.jpg; images\Audi A5 2025\car_img_7.jpg; images\Audi A5 2025\car_img_8.jpg; images\Audi A5 2025\car_img_9.jpg; images\Audi A5 2025\car_img_10.jpg; images\Audi A5 2025\car_img_11.jpg; images\Audi A5 2025\car_img_12.jpg,Automatic,gas,Sedan,,,,,,,,,,,,,,
Audi,A5,2026,3375000,Advanced,images\Audi_A5_Advanced_93726\img_1.jpg; images\Audi_A5_Advanced_93726\img_2.jpg; images\Audi_A5_Advanced_93726\img_3.jpg; images\Audi_A5_Advanced_93726\img_4.jpg; images\Audi_A5_Advanced_93726\img_5.jpg; images\Audi_A5_Advanced_93726\img_6.jpg; images\Audi_A5_Advanced_93726\img_7.jpg; images\Audi_A5_Advanced_93726\img_8.jpg; images\Audi_A5_Advanced_93726\img_9.png; images\Audi_A5_Advanced_93726\img_10.jpg,DSG,gas,Sedan,2000,196,340,,7.8,0,,,,5,4,,7,
Audi,A5,2026,3850000,S-Line,images\Audi_A5_S-Line_97853\img_1.jpg; images\Audi_A5_S-Line_97853\img_2.jpg; images\Audi_A5_S-Line_97853\img_3.jpg; images\Audi_A5_S-Line_97853\img_4.jpg; images\Audi_A5_S-Line_97853\img_5.jpg; images\Audi_A5_S-Line_97853\img_6.jpg; images\Audi_A5_S-Line_97853\img_7.jpg; images\Audi_A5_S-Line_97853\img_8.png; images\Audi_A5_S-Line_97853\img_9.jpg; images\Audi_A5_S-Line_97853\img_10.jpg,DSG,gas,Sedan,2000,196,340,,7.8,0,,,,5,4,,7,
Audi,A5,2026,4400000,S-Line Plus,images\Audi_A5_S-Line_PLUS_1453\img_1.jpg; images\Audi_A5_S-Line_PLUS_1453\img_2.jpg; images\Audi_A5_S-Line_PLUS_1453\img_3.png; images\Audi_A5_S-Line_PLUS_1453\img_4.jpg; images\Audi_A5_S-Line_PLUS_1453\img_5.jpg; images\Audi_A5_S-Line_PLUS_1453\img_6.jpg; images\Audi_A5_S-Line_PLUS_1453\img_7.jpg; images\Audi_A5_S-Line_PLUS_1453\img_8.jpg; images\Audi_A5_S-Line_PLUS_1453\img_9.jpg; images\Audi_A5_S-Line_PLUS_1453\img_10.jpg,DSG,gas,Sedan,2000,196,340,,7.8,0,,,,5,4,,7,
Audi,A6,2024,4300000,2.0 A/T S-Line,images\Audi A6 2024\car_img_1.jpg; images\Audi A6 2024\car_img_2.jpg; images\Audi A6 2024\car_img_3.jpg; images\Audi A6 2024\car_img_4.jpg; images\Audi A6 2024\car_img_5.jpg; images\Audi A6 2024\car_img_6.jpg; images\Audi A6 2024\car_img_7.jpg,Automatic,gas,Sedan,,190/4200-6000,320/1450-4200,250,7٫9,1477,4733,1386,2824,5,4,63,7,6٫5
Audi,A6,2024,4300000,S-Line,images\Audi_A6_S_Line_5997\img_1.jpg; images\Audi_A6_S_Line_5997\img_2.jpg; images\Audi_A6_S_Line_5997\img_3.png; images\Audi_A6_S_Line_5997\img_4.jpg; images\Audi_A6_S_Line_5997\img_5.jpg; images\Audi_A6_S_Line_5997\img_6.jpg; images\Audi_A6_S_Line_5997\img_7.jpg; images\Audi_A6_S_Line_5997\img_8.jpg; images\Audi_A6_S_Line_5997\img_9.jpg; images\Audi_A6_S_Line_5997\img_10.jpg,automatic,gas,Sedan,2000,190,320,,8.1,"1,886","4,939","1,457",2924,5,4,73,7,6.5
Audi,A8,2025,9350000,S-Line Long,images\Audi_A8_S-Line_Long_90947\img_1.png; images\Audi_A8_S-Line_Long_90947\img_2.jpg; images\Audi_A8_S-Line_Long_90947\img_3.jpg; images\Audi_A8_S-Line_Long_90947\img_4.jpg; images\Audi_A8_S-Line_Long_90947\img_5.jpg,automatic,gas,Sedan,3000,340,,,,0,,,,5,6,,,
Audi,Q2,2025,2100000,S-Line,images\Audi_Q2_S_Line_74179\img_1.jpg; images\Audi_Q2_S_Line_74179\img_2.jpg; images\Audi_Q2_S_Line_74179\img_3.jpg; images\Audi_Q2_S_Line_74179\img_4.jpg; images\Audi_Q2_S_Line_74179\img_5.jpg; images\Audi_Q2_S_Line_74179\img_6.jpg; images\Audi_Q2_S_Line_74179\img_7.jpg; images\Audi_Q2_S_Line_74179\img_8.png; images\Audi_Q2_S_Line_74179\img_9.jpg; images\Audi_Q2_S_Line_74179\img_10.jpg,automatic,gas,SUV,1400,150,200,,10.3,"1,794","4,191","1,508",2595,5,4,50,7,5.1
