Brand | Model | Trim | Drivetrain
Chery | Tiggo7 Pro Max | Flagship | FWD
Chery | Tiggo8 | Comfor | FWD
Chery | Tiggo8 | Comfort | FWD
Chery | Tiggo8 | Luxury | FWD
Chery | Tiggo8 Pro | Flagship | FWD
Chery | Tiggo8 Pro | Luxury | FWD
Chery | Tiggo8 Pro Max | Flagship | AWD
Chery | Tiggo9 | Luxury | FWD
Chevrolet | Captiva | Lv3 | FWD
Chevrolet | Captiva EV | Premier | FWD
Chevrolet | N300 | Baseline | RWD
Chevrolet | Optra | Ls | FWD
Chevrolet | Optra | Lt | FWD
Chevrolet | Spark EV | Activ | FWD
Chevrolet | Tfr | Baseline | RWD
Chevrolet | Tfr | Highline | AWD
Citroen | C3 | Feel | FWD
Citroen | C3 | Shine | FWD
Citroen | C3 Aircross | Feel | FWD
Citroen | C3 Aircross | Shine | FWD
Citroen | C4 | Feel | FWD
Citroen | C4 | Shine | FWD
Citroen | C4X | Feel | FWD
Citroen | C4X | Shine | FWD
Citroen | C5 Aircross | Feel With Out Sunroof | FWD
Citroen | C5 Aircross | Feel With Sunroof | FWD
Citroen | C5 Aircross | Shine | FWD
Citroen | C5 Aircross | Shine Entry | FWD
Cupra | Formentor | Turbo | FWD
Cupra | Leon | Control | FWD
Cupra | Terramar | Control | FWD
Cupra | Terramar | Impulse | FWD
DFSK | 600 | Automatic | FWD
DFSK | E5 | Reev | FWD
DFSK | E5 Plus | Reev | FWD
DS | 4 | Performance Line | FWD
DS | 4 | Trocadero | FWD
DS | 7 | Etoile | FWD
DS | 7 | Pallas | FWD
DS | 7 | Rivoli | FWD
Deepal | S05 | Bev | RWD
Deepal | S05 | Reev | RWD
Deepal | S07 | Bev | RWD
Deepal | S07 | Reev | RWD
Dongfeng | A30 | Shine Limited Edition | FWD
Dongfeng | Box | 330 | FWD
Dongfeng | Box | 430 | FWD
Dongfeng | E Pai007 | 530 Pro | RWD
Dongfeng | E Pai007 | 620 Pro | RWD
Dongfeng | E70 | Pro | FWD
Dongfeng | Huge | Hybrid | FWD
Dongfeng | Huge | Special Color | FWD
Dongfeng | Mage | Elite | FWD
Dongfeng | Mage | Highline | FWD
Dongfeng | Mhero1 | Premium | AWD
Dongfeng | Shine | Advance | FWD
Dongfeng | Shine | Sport | FWD
Dongfeng | Voyah Dream | Premium | AWD
Dongfeng | Voyah Free | Luxury | AWD
Dongfeng | Voyah Passion | Premium | AWD
EXEED | Es | Comfort | RWD
EXEED | Es | Flagship | AWD
EXEED | Et | Luxury | AWD
EXEED | Lx | Comfort | FWD
EXEED | Lx | Luxury | FWD
EXEED | Rx | Flagship | AWD
EXEED | Rx | Luxury | FWD
EXEED | Vx | Flagship | AWD
EXEED | Vx | Luxury | AWD
Fiat | 500X | Cross | FWD
Fiat | E-Ulysee | Lounge | FWD
Fiat | Tipo | Entry | FWD
Fiat | Tipo | Mid | FWD
Fiat | Tipo | Plus | FWD
Ford | Focus | Connected 4D | FWD
Ford | Focus | Connected 5D | FWD
Ford | Focus | Titanium 4D | FWD
Ford | Focus | Titanium 5Dr | FWD
Ford | Focus | Trend 4D | FWD
Forthing | S7 | Ev | FWD
Forthing | S7 | Reev | FWD
Forthing | T5 | Ev | FWD
Forthing | T5 | Evo | FWD
Forthing | T5 | Reev | FWD
Forthing | V9 | Phev | FWD
GAC | Aion Y | Bev Aion Y Plus | FWD
GAC | Emkoo | Ge | FWD
GAC | Emkoo | Gl | FWD
GAC | Emkoo | Gs | FWD
GAC | Empow | Gb | FWD
GAC | Empow | Ge S-Style | FWD
GAC | Empow | Gs | FWD
GAC | Gs3 Emzoom | Gb | FWD
GAC | Gs3 Emzoom | Gl | FWD
GAC | Gs3 Emzoom | Gs | FWD
GAC | Gs3 Emzoom | Rs Style | FWD
GAC | Gs4 | Gb | FWD
GAC | Gs4 | Ge | FWD
GAC | Gs4 | Gs | FWD
GAC | Gs4 Max | Premium | FWD
Geely | City Ray | Comfort | FWD
Geely | City Ray | Premium | FWD
Geely | City Ray | Sport | FWD
Geely | Coolray | Comfort | FWD
Geely | Coolray | Gf | FWD
Geely | Coolray | Gk | FWD
Geely | Coolray | Gl | FWD
Geely | Coolray | Premium | FWD
Geely | Coolray | Premium Local | FWD
Geely | Coolray | Sport | FWD
Geely | Emgrand | Gf | FWD
Geely | Emgrand | Gs | FWD
Geely | Geometry C | Ev 400 | FWD
Geely | Geometry C | Ev 550 | FWD
Geely | Gx3 Pro | Premium | FWD
Geely | Okavango | Premium | FWD
Geely | Starray | Comfort | FWD
Geely | Starray | Premium Abou Ghaly | FWD
Geely | Starray | Sport+ | FWD
Genesis | G80 | Advanced | RWD
Genesis | G80 | Dynamic | AWD
Genesis | G80 | Performance | AWD
Genesis | GV60 | Advanced | RWD
Genesis | GV60 | Dynamic | AWD
Genesis | GV60 | Performance | AWD
Genesis | GV70 | Advanced | AWD
Genesis | GV70 | Dynamic | AWD
Haval | H6 | Deluxe | FWD
Haval | H6 | Deluxe Sr | FWD
Haval | H6 | High Deluxe | FWD
Haval | H6 | Platinum | FWD
Haval | H6 | Standard | FWD
Haval | H6 | Top Line | FWD
Haval | H6 | Ultra | FWD
Haval | H7 | Highline | FWD
Haval | Jolion | Deluxe | FWD
Haval | Jolion | Deluxe Sr | FWD
Haval | Jolion | High Deluxe | FWD
Haval | Jolion | Standard | FWD
Haval | Jolion Pro | High Deluxe | FWD
Honda | Accord | Ex | FWD
Honda | Accord | Ex Turbo | FWD
Honda | Crv | Ex | AWD
Honda | Zrv | Ex | FWD
Hongqi | E Hs9 | Luxury | AWD
Hongqi | Ehs7 | Bev | RWD
Hongqi | Hs3 | Luxury | FWD
Hongqi | Ousado | Comfort | FWD
Hongqi | Ousado | Luxury | FWD
Hyundai | Accent Rb | Dab Abs | FWD
Hyundai | Accent Rb | Dab Abs Plus | FWD
Hyundai | Accent Rb | Gl | FWD
Hyundai | Accent Rb | Gl Dab Abs | FWD
Hyundai | Accent Rb | Gl Highline | FWD
Hyundai | Accent Rb | Gl Sr | FWD
Hyundai | Accent Rb | Highline | FWD
Hyundai | Accent Rb | Sr | FWD
Hyundai | Elantra Ad | Modern | FWD
Hyundai | Elantra Ad | Modern Sunroof | FWD
Hyundai | Elantra Ad | Smart | FWD
Hyundai | Elantra Ad | Top Line | FWD
Hyundai | Elantra Cn7 | Black Diamond | FWD
Hyundai | Elantra Cn7 | Blaze | FWD
Hyundai | Elantra Cn7 | Redline | FWD
Hyundai | Elantra Cn7 | Shadow | FWD
Hyundai | Elantra Hd | Highline Tinted Glass 15 | FWD
Hyundai | I30 | Fb Blaze | FWD
Hyundai | I30 | Fb Redline Fastback | FWD
Hyundai | I30 | Hb Blaze | FWD
Hyundai | I30 | Hb Redline | FWD
Hyundai | Ioniq5 | Connect Plus | RWD
Hyundai | Ioniq5 | Extreme | RWD
Hyundai | Ioniq5 | Extreme Lr Awd | AWD
Hyundai | Ioniq5 | N Boost Awd | AWD
Hyundai | Ioniq6 | Connect Plus Long Range Rwd | RWD
Hyundai | Ioniq6 | Extreme Long Range Awd | AWD
Hyundai | Ioniq6 | Extreme Rwd | RWD
Hyundai | Santa Fe | Hev Calligraphy Awd | AWD
Hyundai | Santa Fe | Hev Executive Rwd | RWD
Hyundai | Staria | Hev Premium Lounge 7 Seats | FWD
Hyundai | Tucson | Black Diamond | FWD
Hyundai | Tucson | Blaze | FWD
Hyundai | Tucson | N-Line | FWD
Hyundai | Tucson | Night | FWD
Hyundai | Tucson | Redine | FWD
Hyundai | Tucson | Redine N Pack | FWD
Hyundai | Tucson | Shadow | FWD
IM Motors | IM5 | Ultra Efficiency | RWD
IM Motors | IM5 | Ultra Performance | AWD
IM Motors | IM5 | Ultra Range | RWD
IM Motors | IM6 | Ultra Efficiency | RWD
IM Motors | IM6 | Ultra Range | RWD
IM Motors | LS7 | Ultra Performance | AWD
JAC | J7 | Ultimate | FWD
JAC | Js2 | Smart | FWD
JAC | Js4 | Ultimat | FWD
JAC | Js6 | Flagship | FWD
JAC | Js6 | Limited | FWD
JAC | Js8 Pro | Flagship | FWD
JAC | Js8 Pro | Limited | FWD
JAC | S2 | Smart | FWD
Jeep | Grand Cherokee | Limited L 4X4 | AWD
Jetour | Dashing | Comfort | FWD
Jetour | Dashing | Luxury | FWD
Jetour | T1 | Automatic | AWD
Jetour | T1 | Luxury | AWD
Jetour | T1 | Matt Color | AWD
Jetour | T2 | Automtic | AWD
Jetour | T2 | Luxury | AWD
Jetour | T2 | Matt Color | AWD
Jetour | X70 | Comfort | FWD
Jetour | X70 | Luxury | FWD
Jetour | X70 Plus | Luxury Local | FWD
Jetour | X90 Plus | Luxury | FWD
Kaiyi | X3 Pro | Flagship | FWD
Kaiyi | X3 Pro | Top Line | FWD
Kaiyi | X7 | Flagship | FWD
Kgm | Actyon | High Line | FWD
Kgm | Actyon | Top Line | FWD
Kgm | Tivoli | Tivoli Automtic | FWD
Kgm | Tivoli Xlv | Tivoli Xlv Automtic | FWD
Kgm | Torres | Advance | FWD
Kgm | Torres | Black Edition | FWD
Kgm | Torres | Comfort | FWD
Kgm | Torres | Luxury | FWD
Kgm | Torres | Premium | FWD
Kia | Carnival | Top Line | FWD
Kia | Ev3 | Air | FWD
Kia | Ev3 | Earth | FWD
Kia | Ev3 | Gt-Line | FWD
Kia | Ev5 | Air | FWD
Kia | Ev5 | Earth | FWD
Kia | Ev5 | Gt-Line | AWD
Kia | Ev6 | Earth | RWD
Kia | Ev6 | Gt-Line | AWD
Kia | Ev9 | Gt-Line | AWD
Kia | Ev9 | Gt-Line Relaxing | AWD
Kia | Ev9 | Gt-Line Swivelling | AWD
Kia | Ev9 | Gt-LineRelaxing | AWD
Kia | Grand Cerato | Ex Cam | FWD
Kia | Grand Cerato | Highline | FWD
Kia | Grand Cerato | Lx Fo | FWD
Kia | K4 | Gt-Line | FWD
Kia | K4 | Gt-Line Black Edition | FWD
Kia | K4 | Highline | FWD
Kia | Seltos | Ex | FWD
Kia | Seltos | Highline | FWD
Kia | Seltos | Top Line | FWD
Kia | Sorento | Topline | AWD
Kia | Sportage | Ex | FWD
Kia | Sportage | Gt-Line | FWD
Kia | Sportage | Highline | FWD
Kia | Sportage | Lx | FWD
Kia | Sportage | Premium | FWD
Kia | Sportage | Top Line | FWD
Kia | Xceed | Highline | FWD
Kia | Xceed | Panorama | FWD
Li Auto | L6 | Pro | AWD
Li Auto | L7 | Ultra | AWD
Li Auto | L9 | Ultra | AWD
Lotus | Emeya | Base | AWD
Lotus | Emeya | R | AWD
Lotus | Emeya | S | AWD
Lynk & co | 2 | Halo | FWD
Lynk & co | 6 | Core Plus | FWD
Lynk & co | 6 | Hyper Halo | AWD
Lynk & co | 6 | Hyper Pro | AWD
M-Hero | 917 | Signature | AWD
Maserati | Granturismo | Modena | AWD
Maserati | Granturismo | Trofeo | AWD
Maserati | Grecale | Modena | AWD
Mazda | 3 | Highline | FWD
Mazda | Cx3 | Highline | FWD
Mercedes | A200 | Progressive | FWD
Mercedes | B200 | Progressive | FWD
Mercedes | C180 | Avantgarde Plus | RWD
Mercedes | C180 | Sport | RWD
Mercedes | C200 | Sport | RWD
Mercedes | C43 | 4Matic | AWD
Mercedes | CLA 200 | Progressive | FWD
