Brand                     | Model                | Trim                                | Drivetrain
Chery                     | Arrizo5              | Highline                            | 
Chery                     | Arrizo5              | Leather                             | 
Chery                     | Arrizo5              | Mt Facelift                         | 
Chery                     | Arrizo8              | Flagship                            | 
Chery                     | Arrizo8              | Luxury                              | 
Chery                     | Eq7                  | Automtic                            | 
Chery                     | Eq7                  | Luxury                              | 
Chery                     | Tiggo3               | Tinted Glass                        | 
Chery                     | Tiggo4 Pro           | Comfort                             | 
Chery                     | Tiggo4 Pro           | Luxury                              | 
Chery                     | Tiggo4 Pro           | Luxury Turbo                        | 
Chery                     | Tiggo4 Pro           | Turbo                               | 
Chery                     | Tiggo7               | Baseline                            | 
Chery                     | Tiggo7               | Comfort                             | 
Chery                     | Tiggo7               | Highline                            | 
Chery                     | Tiggo7               | Luxury                              | 
Chery                     | Tiggo7 Pro           | Comfort                             | 
Chery                     | Tiggo7 Pro           | Luxury                              | 
Chery                     | Tiggo7 Pro Max       | Comfort                             | 
Chery                     | Tiggo7 Pro Max       | Flagship                            | 
Chery                     | Tiggo8               | Comfor                              | 
Chery                     | Tiggo8               | Comfort                             | 
Chery                     | Tiggo8               | Luxury                              | 
Chery                     | Tiggo8 Pro           | Flagship                            | 
Chery                     | Tiggo8 Pro           | Luxury                              | 
Chery                     | Tiggo8 Pro Max       | Flagship                            | 
Chery                     | Tiggo9               | Luxury                              | 
Chevrolet                 | Captiva              | Lv3                                 | 
Chevrolet                 | Captiva EV           | Premier                             | 
Chevrolet                 | N300                 | Baseline                            | 
Chevrolet                 | Optra                | Ls                                  | 
Chevrolet                 | Optra                | Lt                                  | 
Chevrolet                 | Spark EV             | Activ                               | 
Chevrolet                 | Tfr                  | Baseline                            | 
Chevrolet                 | Tfr                  | Highline                            | 
Citroen                   | C3                   | Feel                                | 
Citroen                   | C3                   | Shine                               | 
Citroen                   | C3 Aircross          | Feel                                | 
Citroen                   | C3 Aircross          | Shine                               | 
Citroen                   | C4                   | Feel                                | 
Citroen                   | C4                   | Shine                               | 
Citroen                   | C4X                  | Feel                                | 
Citroen                   | C4X                  | Shine                               | 
Citroen                   | C5 Aircross          | Feel With Out Sunroof               | 
Citroen                   | C5 Aircross          | Feel With Sunroof                   | 
Citroen                   | C5 Aircross          | Shine                               | 
Citroen                   | C5 Aircross          | Shine Entry                         | 
Cupra                     | Formentor            | Turbo                               | 
Cupra                     | Leon                 | Control                             | 
Cupra                     | Terramar             | Control                             | 
Cupra                     | Terramar             | Impulse                             | 
DFSK                      | 600                  | Automatic                           | 
DFSK                      | E5                   | Reev                                | 
DFSK                      | E5 Plus              | Reev                                | 
DS                        | 4                    | Performance Line                    | 
DS                        | 4                    | Trocadero                           | 
DS                        | 7                    | Etoile                              | 
DS                        | 7                    | Pallas                              | 
DS                        | 7                    | Rivoli                              | 
Deepal                    | S05                  | Bev                                 | 
Deepal                    | S05                  | Reev                                | 
Deepal                    | S07                  | Bev                                 | 
Deepal                    | S07                  | Reev                                | 
Dongfeng                  | A30                  | Shine Limited Edition               | 
Dongfeng                  | Box                  | 330                                 | 
Dongfeng                  | Box                  | 430                                 | 
Dongfeng                  | E Pai007             | 530 Pro                             | 
Dongfeng                  | E Pai007             | 620 Pro                             | 
Dongfeng                  | E70                  | Pro                                 | 
Dongfeng                  | Huge                 | Hybrid                              | 
Dongfeng                  | Huge                 | Special Color                       | 
Dongfeng                  | Mage                 | Elite                               | 
Dongfeng                  | Mage                 | Highline                            | 
Dongfeng                  | Mhero1               | Premium                             | 
Dongfeng                  | Shine                | Advance                             | 
Dongfeng                  | Shine                | Sport                               | 
Dongfeng                  | Voyah Dream          | Premium                             | 
Dongfeng                  | Voyah Free           | Luxury                              | 
Dongfeng                  | Voyah Passion        | Premium                             | 
EXEED                     | Es                   | Comfort                             | 
EXEED                     | Es                   | Flagship                            | 
EXEED                     | Et                   | Luxury                              | 
EXEED                     | Lx                   | Comfort                             | 
EXEED                     | Lx                   | Luxury                              | 
EXEED                     | Rx                   | Flagship                            | 
EXEED                     | Rx                   | Luxury                              | 
EXEED                     | Vx                   | Flagship                            | 
EXEED                     | Vx                   | Luxury                              | 
Fiat                      | 500X                 | Cross                               | 
Fiat                      | E-Ulysee             | Lounge                              | 
Fiat                      | Tipo                 | Entry                               | 
Fiat                      | Tipo                 | Mid                                 | 
Fiat                      | Tipo                 | Plus                                | 
Ford                      | Focus                | Connected 4D                        | 
