Car Title,Brand,Model,Price,Year,Trim,Mileage,Condition,Transmission,Fuel Type,CC,Color,Location,Body Type,Image Paths,URL
Used Fiat Tipo Sedan 1.6L Full Option 2019,Fiat,Tipo-sedan,"EGP 700,000",2019,Tipo Sedan 1.6L Full Option,"180,000 KM",Used,Automatic,Petrol,"1,600",Blue,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2019_32281\img_1.jpeg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_2.jpeg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_6.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_7.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_8.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_9.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_10.jpg; images_yallamotor\fiat_tipo-sedan_2019_32281\img_11.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2019/used-fiat-tipo-sedan-2019-cairo-2050090
429 Too Many Requests,Fiat,Tipo-sedan,N/A,2020,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-6th-of-october-city-2057278
Used Fiat Tipo Sedan 1.6L 2020,Fiat,Tipo-sedan,"EGP 450,000",2020,Tipo Sedan 1.6L,"300,000 KM",Used,Manual,Petrol,"1,400",Silver,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_22232\img_1.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-1474010
Used Fiat Tipo Sedan 1.4L Full Option 2020,Fiat,Tipo-sedan,"EGP 480,000",2020,Tipo Sedan 1.4L Full Option,"190,000 KM",Used,Manual,Petrol,"1,400",Other,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_29985\img_1.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-1502685
Used Fiat Tipo Sedan 1.4L Full Option 2020,Fiat,Tipo-sedan,"EGP 460,000",2020,Tipo Sedan 1.4L Full Option,"195,000 KM",Used,Manual,Petrol,"1,400",Other,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_37731\img_1.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-1508544
Used Fiat Tipo Sedan 1.4L Highline 2020,Fiat,Tipo-sedan,"EGP 1,440,000",2020,Tipo Sedan 1.4L Highline,"93,000 KM",Used,manual,Petrol,"1,400",Burgundy,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_46611\img_1.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-1569484
Used Fiat Tipo Sedan 1.6L Full Option 2020,Fiat,Tipo-sedan,"EGP 900,000",2020,Tipo Sedan 1.6L Full Option,"75,000 KM",Used,Automatic,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_54335\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2020_54335\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2020_54335\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2020_54335\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2020_54335\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2020_54335\img_6.jpg; images_yallamotor\fiat_tipo-sedan_2020_54335\img_7.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-1739072
Used Fiat Tipo Sedan 1.6L Standard 2020,Fiat,Tipo-sedan,"EGP 700,000",2020,Tipo Sedan 1.6L Standard,"113,000 KM",Used,Automatic,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_36459\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2020_36459\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2020_36459\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2020_36459\img_4.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-2036668
Used Fiat Tipo Sedan 1.6L 2020,Fiat,Tipo-sedan,"EGP 650,000",2020,Tipo Sedan 1.6L,"95,000 KM",Used,Automatic,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_51618\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2020_51618\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2020_51618\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2020_51618\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2020_51618\img_5.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-2049541
Used Fiat Tipo Sedan 1.6L 2020,Fiat,Tipo-sedan,"EGP 735,000",2020,Tipo Sedan 1.6L,"90,000 KM",Used,Automatic,Petrol,"1,600",Silver,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2020_68029\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2020_68029\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2020_68029\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2020_68029\img_4.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-cairo-2057584
Used Fiat Tipo Sedan 1.4L Highline 2020,Fiat,Tipo-sedan,"EGP 570,000",2020,Tipo Sedan 1.4L Highline,"165,000 KM",Used,Manual,Petrol,"1,400",Red,Hurghada,Sedan,images_yallamotor\fiat_tipo-sedan_2020_81354\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2020_81354\img_2.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2020/used-fiat-tipo-sedan-2020-hurghada-1677047
Used Fiat Tipo Sedan 1.4L Highline 2021,Fiat,Tipo-sedan,"EGP 850,000",2021,Tipo Sedan 1.4L Highline,"38,000 KM",Used,Manual,Petrol,"1,400",Silver,6th of October City,Sedan,images_yallamotor\fiat_tipo-sedan_2021_90509\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_90509\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_90509\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_90509\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2021_90509\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2021_90509\img_6.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-6th-of-october-city-1492986
Used Fiat Tipo Sedan 1.4L Full Option 2021,Fiat,Tipo-sedan,"EGP 660,000",2021,Tipo Sedan 1.4L Full Option,"48,000 KM",Used,Manual,Petrol,"1,400",Blue,6th of October City,Sedan,images_yallamotor\fiat_tipo-sedan_2021_47521\img_1.jpeg; images_yallamotor\fiat_tipo-sedan_2021_47521\img_2.jpeg; images_yallamotor\fiat_tipo-sedan_2021_47521\img_3.jpeg; images_yallamotor\fiat_tipo-sedan_2021_47521\img_4.jpeg; images_yallamotor\fiat_tipo-sedan_2021_47521\img_5.jpeg; images_yallamotor\fiat_tipo-sedan_2021_47521\img_6.jpeg; images_yallamotor\fiat_tipo-sedan_2021_47521\img_7.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-6th-of-october-city-1642235
Used Fiat Tipo Sedan 1.6L Full Option 2021,Fiat,Tipo-sedan,"EGP 710,000",2021,Tipo Sedan 1.6L Full Option,"45,000 KM",Used,Automatic,Petrol,"1,600",Silver,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2021_66573\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_66573\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_66573\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_66573\img_4.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-cairo-1495304
Used Fiat Tipo Sedan 1.6L Standard 2021,Fiat,Tipo-sedan,"EGP 850,000",2021,Tipo Sedan 1.6L Standard,"100,000 KM",Used,Automatic,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2021_81602\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_6.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_7.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_8.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_9.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_10.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_11.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_12.jpg; images_yallamotor\fiat_tipo-sedan_2021_81602\img_13.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-cairo-1581407
Used Fiat Tipo Sedan 1.6L 2021,Fiat,Tipo-sedan,"EGP 725,000",2021,Tipo Sedan 1.6L,"95,000 KM",Used,Automatic,Petrol,"1,600",Blue,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2021_8997\img_1.jpeg; images_yallamotor\fiat_tipo-sedan_2021_8997\img_2.jpeg; images_yallamotor\fiat_tipo-sedan_2021_8997\img_3.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-cairo-1758318
429 Too Many Requests,Fiat,Tipo-sedan,N/A,2021,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-cairo-2071162
Used Fiat Tipo Sedan 1.4L Highline 2021,Fiat,Tipo-sedan,"EGP 625,000",2021,Tipo Sedan 1.4L Highline,"90,000 KM",Used,Manual,Petrol,"1,400",Brown,Mansoura,Sedan,images_yallamotor\fiat_tipo-sedan_2021_74467\img_1.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-mansoura-2075320
Used Fiat Tipo Sedan 1.6L 2021,Fiat,Tipo-sedan,"EGP 560,000",2021,Tipo Sedan 1.6L,"140,000 KM",Used,Manual,Petrol,"1,600",Red,Nasr City,Sedan,images_yallamotor\fiat_tipo-sedan_2021_81997\img_1.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-nasr-city-1592683
Used Fiat Tipo Sedan 1.6L 2021,Fiat,Tipo-sedan,"EGP 750,000",2021,Tipo Sedan 1.6L,"45,000 KM",Used,Automatic,Petrol,"1,600",Blue,Tanta,Sedan,images_yallamotor\fiat_tipo-sedan_2021_89063\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_89063\img_2.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-tanta-1476944
Used Fiat Tipo Sedan 1.6L 2021,Fiat,Tipo-sedan,"EGP 850,000",2021,Tipo Sedan 1.6L,"38,000 KM",Used,Automatic,Petrol,"1,600",Gray,Tanta,Sedan,images_yallamotor\fiat_tipo-sedan_2021_98884\img_1.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_2.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_3.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_4.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_5.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_6.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_7.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_8.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_9.jpeg; images_yallamotor\fiat_tipo-sedan_2021_98884\img_10.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-tanta-1753296
Used Fiat Tipo Sedan 1.6L 2021,Fiat,Tipo-sedan,"EGP 845,000",2021,Tipo Sedan 1.6L,"146,000 KM",Used,Automatic,Petrol,"1,600",Silver,Tanta,Sedan,images_yallamotor\fiat_tipo-sedan_2021_23227\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_6.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_7.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_8.jpg; images_yallamotor\fiat_tipo-sedan_2021_23227\img_9.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-tanta-1764160
Used Fiat Tipo Sedan 1.6L Full Option 2021,Fiat,Tipo-sedan,"EGP 820,000",2021,Tipo Sedan 1.6L Full Option,"89,000 KM",Used,Automatic,Petrol,"1,600",Blue,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2021_72580\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_72580\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_72580\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_72580\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2021_72580\img_5.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-cairo-2071340
Used Fiat Tipo Sedan 1.6L Standard 2021,Fiat,Tipo-sedan,"EGP 720,000",2021,Tipo Sedan 1.6L Standard,"160,000 KM",Used,Automatic,Petrol,"1,600",Silver,Delta,Sedan,images_yallamotor\fiat_tipo-sedan_2021_86835\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_86835\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_86835\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_86835\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2021_86835\img_5.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-delta-2054893
Used Fiat Tipo Sedan 1.6L Standard 2021,Fiat,Tipo-sedan,"EGP 838,000",2021,Tipo Sedan 1.6L Standard,"28,500 KM",Used,Automatic,Petrol,"1,600",Blue,Giza,Sedan,images_yallamotor\fiat_tipo-sedan_2021_2425\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_2425\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_2425\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_2425\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2021_2425\img_5.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-giza-1510904
Used Fiat Tipo Sedan 1.6L Standard 2021,Fiat,Tipo-sedan,"EGP 850,000",2021,Tipo Sedan 1.6L Standard,"150,000 KM",Used,Automatic,Petrol,"1,600",Brown,Giza,Sedan,images_yallamotor\fiat_tipo-sedan_2021_17636\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_17636\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_17636\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_17636\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2021_17636\img_5.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-giza-1760009
Used Fiat Tipo Sedan 1.6L Standard 2021,Fiat,Tipo-sedan,"EGP 800,000",2021,Tipo Sedan 1.6L Standard,"100,000 KM",Used,Manual,Petrol,"1,600",Blue,Giza,Sedan,images_yallamotor\fiat_tipo-sedan_2021_33021\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2021_33021\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2021_33021\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2021_33021\img_4.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2021/used-fiat-tipo-sedan-2021-giza-2028640
Used Fiat Tipo Sedan 2022,Fiat,Tipo-sedan,"EGP 1,100,000",2022,Tipo Sedan,"45,978 KM",Used,Automatic,-,-,Gray,6th of October City,Sedan,images_yallamotor\fiat_tipo-sedan_2022_77565\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2022_77565\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2022_77565\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2022_77565\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2022_77565\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2022_77565\img_6.jpg; images_yallamotor\fiat_tipo-sedan_2022_77565\img_7.jpg; images_yallamotor\fiat_tipo-sedan_2022_77565\img_8.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-6th-of-october-city-2039129
Used Fiat Tipo Sedan 1.6L Standard 2022,Fiat,Tipo-sedan,"EGP 780,000",2022,Tipo Sedan 1.6L Standard,"33,000 KM",Used,Automatic,Petrol,"1,600",Green,Alexandria,Sedan,images_yallamotor\fiat_tipo-sedan_2022_97884\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2022_97884\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2022_97884\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2022_97884\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2022_97884\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2022_97884\img_6.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-alexandria-1495369
Used Fiat Tipo Sedan 1.4L Full Option 2022,Fiat,Tipo-sedan,"EGP 850,000",2022,Tipo Sedan 1.4L Full Option,"62,000 KM",Used,Automatic,Petrol,"1,400",White,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2022_15265\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2022_15265\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2022_15265\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2022_15265\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2022_15265\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2022_15265\img_6.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-cairo-1478757
Used Fiat Tipo Sedan 1.6L 2022,Fiat,Tipo-sedan,"EGP 760,000",2022,Tipo Sedan 1.6L,"21,000 KM",Used,Automatic,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2022_32681\img_1.jpeg; images_yallamotor\fiat_tipo-sedan_2022_32681\img_2.jpeg; images_yallamotor\fiat_tipo-sedan_2022_32681\img_3.jpeg; images_yallamotor\fiat_tipo-sedan_2022_32681\img_4.jpeg; images_yallamotor\fiat_tipo-sedan_2022_32681\img_5.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-cairo-1487879
Used Fiat Tipo Sedan 1.6L Standard 2022,Fiat,Tipo-sedan,"EGP 775,000",2022,Tipo Sedan 1.6L Standard,"22,000 KM",Used,Automatic,Petrol,"1,600",Tan,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2022_48711\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2022_48711\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2022_48711\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2022_48711\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2022_48711\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2022_48711\img_6.jpg; images_yallamotor\fiat_tipo-sedan_2022_48711\img_7.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-cairo-1490231
Used Fiat Tipo Sedan 1.6L Standard 2022,Fiat,Tipo-sedan,"EGP 925,000",2022,Tipo Sedan 1.6L Standard,"45,000 KM",Used,Automatic,Petrol,"1,600",Other,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2022_10720\img_1.jpeg; images_yallamotor\fiat_tipo-sedan_2022_10720\img_2.jpeg; images_yallamotor\fiat_tipo-sedan_2022_10720\img_3.jpeg; images_yallamotor\fiat_tipo-sedan_2022_10720\img_4.jpeg; images_yallamotor\fiat_tipo-sedan_2022_10720\img_5.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-cairo-1593105
Used Fiat Tipo Sedan 1.6L Standard 2022,Fiat,Tipo-sedan,"EGP 940,000",2022,Tipo Sedan 1.6L Standard,"65,000 KM",Used,Manual,Petrol,"1,600",Green,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2022_24727\img_1.jpeg; images_yallamotor\fiat_tipo-sedan_2022_24727\img_2.jpeg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-cairo-1768189
Used Fiat Tipo Sedan 2022,Fiat,Tipo-sedan,"EGP 680,000",2022,Tipo Sedan,"135,000 KM",Used,-,Petrol,"1,600",Black,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2022_34558\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2022_34558\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2022_34558\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2022_34558\img_4.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-cairo-2061974
Used Fiat Tipo Sedan 1.6L Full Option 2022,Fiat,Tipo-sedan,"EGP 750,000",2022,Tipo Sedan 1.6L Full Option,"108,000 KM",Used,Automatic,Petrol,"1,600",Other,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2022_47814\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2022_47814\img_2.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-cairo-2074965
Used Fiat Tipo Sedan 1.6L Standard 2022,Fiat,Tipo-sedan,"EGP 790,000",2022,Tipo Sedan 1.6L Standard,"46,000 KM",Used,Automatic,Petrol,"1,600",Gray,Giza,Sedan,images_yallamotor\fiat_tipo-sedan_2022_56742\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2022_56742\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2022_56742\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2022_56742\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2022_56742\img_5.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-giza-2063853
429 Too Many Requests,Fiat,Tipo-sedan,N/A,2022,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2022/used-fiat-tipo-sedan-2022-tanta-1500785
Used Fiat Tipo Sedan 1.4L Full Option 2024,Fiat,Tipo-sedan,"EGP 680,000",2024,Tipo Sedan 1.4L Full Option,"7,000 KM",Used,Manual,Petrol,"1,400",Gray,Cairo,Sedan,images_yallamotor\fiat_tipo-sedan_2024_51262\img_1.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_2.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_3.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_4.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_5.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_6.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_7.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_8.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_9.jpg; images_yallamotor\fiat_tipo-sedan_2024_51262\img_10.jpg,https://egypt.yallamotor.com/used-cars/fiat/tipo-sedan/2024/used-fiat-tipo-sedan-2024-cairo-2041370
Used Ford Classic Coupe 2017,Ford,1934-classic-coupe,"EGP 1,200,000",2017,Classic Coupe,"70,000 KM",Used,Automatic,Petrol,"2,000",Burgundy,Obour City,SUV,images_yallamotor\ford_1934-classic-coupe_2017_74719\img_1.jpg,https://egypt.yallamotor.com/used-cars/ford/1934-classic-coupe/2017/used-ford-1934-classic-coupe-2017-obour-city-1695363
Used Ford EcoSport 1.0T Titanium 2018,Ford,Ecosport,"EGP 960,000",2018,1.0T Titanium,"160,000 KM",Used,Automatic,Petrol,998,Black,Alexandria,SUV,images_yallamotor\ford_ecosport_2018_82361\img_1.jpeg; images_yallamotor\ford_ecosport_2018_82361\img_2.jpeg; images_yallamotor\ford_ecosport_2018_82361\img_3.jpeg; images_yallamotor\ford_ecosport_2018_82361\img_4.jpeg; images_yallamotor\ford_ecosport_2018_82361\img_5.jpeg; images_yallamotor\ford_ecosport_2018_82361\img_6.jpeg; images_yallamotor\ford_ecosport_2018_82361\img_7.jpeg; images_yallamotor\ford_ecosport_2018_82361\img_8.jpeg,https://egypt.yallamotor.com/used-cars/ford/ecosport/2018/used-ford-ecosport-2018-alexandria-1497414
Used Ford EcoSport 2019,Ford,Ecosport,"EGP 890,000",2019,Base/Standard,"65,000 KM",Used,Automatic,Petrol,"1,000",Burgundy,6th of October City,Hatchback,images_yallamotor\ford_ecosport_2019_3136\img_1.jpeg; images_yallamotor\ford_ecosport_2019_3136\img_2.jpeg; images_yallamotor\ford_ecosport_2019_3136\img_3.jpeg; images_yallamotor\ford_ecosport_2019_3136\img_4.jpeg,https://egypt.yallamotor.com/used-cars/ford/ecosport/2019/used-ford-ecosport-2019-6th-of-october-city-1625947
Used Ford EcoSport 1.0T Sport 2021,Ford,Ecosport,"EGP 1,100,000",2021,1.0T Sport,"120,000 KM",Used,Automatic,Petrol,998,Blue,Giza,SUV,images_yallamotor\ford_ecosport_2021_49931\img_1.jpg; images_yallamotor\ford_ecosport_2021_49931\img_2.jpg; images_yallamotor\ford_ecosport_2021_49931\img_3.jpg; images_yallamotor\ford_ecosport_2021_49931\img_4.jpg; images_yallamotor\ford_ecosport_2021_49931\img_5.jpg,https://egypt.yallamotor.com/used-cars/ford/ecosport/2021/used-ford-ecosport-2021-giza-1706455
Used Ford Escape 1.5T Trend 2022,Ford,Escape,"EGP 1,500,000",2022,1.5T Trend,"19,000 KM",Used,Automatic,Petrol,"1,500",Silver,Cairo,SUV,images_yallamotor\ford_escape_2022_64501\img_1.jpeg; images_yallamotor\ford_escape_2022_64501\img_2.jpeg; images_yallamotor\ford_escape_2022_64501\img_3.jpeg; images_yallamotor\ford_escape_2022_64501\img_4.jpeg; images_yallamotor\ford_escape_2022_64501\img_5.jpeg,https://egypt.yallamotor.com/used-cars/ford/escape/2022/used-ford-escape-2022-cairo-1488808
