Brand,Model,Price,Year,Trim,Transmission,Fuel Type,Body Type,Engine Capacity,Speeds,Horsepower,Fuel,Consumption,Width,Length,Height,Wheel Base,Seats,Number of Cylinders,Fuel Tank Capacity,Torque,Acceleration,Image Paths
Genesis,Gv 60,4950000,2026,Performance,automatic,Electric,SUV,N/A,N/A,483.0,N/A,N/A,"1,890","4,545","1,580",2900.0,5.0,N/A,N/A,700.0,4.0,images\Genesis_Gv+60_Performance_42737\img_1.jpg; images\Genesis_Gv+60_Performance_42737\img_2.jpg; images\Genesis_Gv+60_Performance_42737\img_3.jpg; images\Genesis_Gv+60_Performance_42737\img_4.jpg; images\Genesis_Gv+60_Performance_42737\img_5.jpg; images\Genesis_Gv+60_Performance_42737\img_6.jpg; images\Genesis_Gv+60_Performance_42737\img_7.jpg; images\Genesis_Gv+60_Performance_42737\img_8.jpg; images\Genesis_Gv+60_Performance_42737\img_9.png
Genesis,Gv70,4500000,2026,Dynamic,automatic,Electric,SUV,N/A,N/A,489.0,N/A,N/A,"1,910","4,715","1,630",2875.0,5.0,N/A,N/A,700.0,4.4,images\Genesis_Gv70_Dynamic_50692\img_1.jpg; images\Genesis_Gv70_Dynamic_50692\img_2.jpg; images\Genesis_Gv70_Dynamic_50692\img_3.jpg; images\Genesis_Gv70_Dynamic_50692\img_4.jpg; images\Genesis_Gv70_Dynamic_50692\img_5.jpg; images\Genesis_Gv70_Dynamic_50692\img_6.jpg; images\Genesis_Gv70_Dynamic_50692\img_7.jpg; images\Genesis_Gv70_Dynamic_50692\img_8.jpg
Genesis,Gv70,4800000,2026,Advanced,automatic,Electric,SUV,N/A,N/A,489.0,N/A,N/A,"1,910","4,715","1,630",2875.0,5.0,N/A,N/A,700.0,4.4,images\Genesis_Gv70_Advanced_55281\img_1.jpg; images\Genesis_Gv70_Advanced_55281\img_2.jpg; images\Genesis_Gv70_Advanced_55281\img_3.jpg; images\Genesis_Gv70_Advanced_55281\img_4.jpg; images\Genesis_Gv70_Advanced_55281\img_5.jpg; images\Genesis_Gv70_Advanced_55281\img_6.jpg; images\Genesis_Gv70_Advanced_55281\img_7.jpg; images\Genesis_Gv70_Advanced_55281\img_8.jpg; images\Genesis_Gv70_Advanced_55281\img_9.jpg
Im,Im 5,1900000,2026,Ultra Efficiency,automatic,Electric,Sedan,N/A,N/A,291.0,N/A,N/A,0,N/A,N/A,N/A,5.0,N/A,N/A,450.0,5.6,images\Im_Im+_5_Ultra_Efficiency_59534\img_1.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_2.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_3.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_4.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_5.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_6.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_7.png; images\Im_Im+_5_Ultra_Efficiency_59534\img_8.png
Im,Im 5,2250000,2026,Ultra Range,automatic,Electric,Sedan,N/A,N/A,402.0,N/A,N/A,0,N/A,N/A,N/A,5.0,N/A,N/A,500.0,4.6,images\Im_Im+_5_Ultra_Range_63738\img_1.png; images\Im_Im+_5_Ultra_Range_63738\img_2.png; images\Im_Im+_5_Ultra_Range_63738\img_3.png; images\Im_Im+_5_Ultra_Range_63738\img_4.png; images\Im_Im+_5_Ultra_Range_63738\img_5.png; images\Im_Im+_5_Ultra_Range_63738\img_6.png; images\Im_Im+_5_Ultra_Range_63738\img_7.png; images\Im_Im+_5_Ultra_Range_63738\img_8.png
Kaiyi,Kaiyi X3 Pro,859900,2026,Flagship,CVT,gas,SUV,1500.0,9.0,156.0,92.0,N/A,"1,831","4,400","1,653",2632.0,5.0,4.0,51.0,230.0,N/A,images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_1.png; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_2.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_3.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_4.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_5.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_6.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_7.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_8.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_9.jpg; images\Kaiyi_Kaiyi_X3_Pro_Flagship_43409\img_10.jpg
Kaiyi,Kaiyi X7,1395000,2026,Flagship,DSG,gas,SUV,1600.0,7.0,197.0,92.0,N/A,"1,955","4,710","1,705",2800.0,7.0,4.0,60.0,290.0,N/A,images\Kaiyi_Kaiyi_X7_Flagship_50839\img_1.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_2.jpg; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_3.jpg; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_4.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_5.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_6.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_7.jpg; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_8.png; images\Kaiyi_Kaiyi_X7_Flagship_50839\img_9.png
Alpha Romeo,Giulia,2749000,2025,sprint,automatic,gas,Sedan,2000.0,8.0,200.0,95.0,6.9,"1,873","4,639","1,426",2820.0,5.0,4.0,58.0,330.0,4.7,images\Alpha_Romeo_Giulia_sprint_56045\img_1.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_2.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_3.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_4.png; images\Alpha_Romeo_Giulia_sprint_56045\img_5.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_6.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_7.jpg
Alpha Romeo,Giulia,3149000,2025,Veloce,automatic,gas,Sedan,2000.0,8.0,200.0,95.0,6.9,"1,873","4,639","1,426",2820.0,5.0,4.0,58.0,330.0,4.7,images\Alpha_Romeo_Giulia_Veloce_60241\img_1.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_2.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_3.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_4.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_5.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_6.png; images\Alpha_Romeo_Giulia_Veloce_60241\img_7.jpg
Alpha Romeo,Stelvio,3325000,2025,Sprint,automatic,gas,SUV,2000.0,8.0,280.0,95.0,7.0,"1,903","4,693","1,684",2818.0,5.0,4.0,64.0,400.0,6.7,images\Alpha_Romeo_Stelvio_Sprint_64328\img_1.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_2.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_3.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_4.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_5.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_6.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_7.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_8.jpg
Alpha Romeo,Stelvio,3550000,2025,Veloce,automatic,gas,SUV,2000.0,8.0,280.0,95.0,7.0,"1,903","4,693","1,684",2818.0,5.0,4.0,64.0,400.0,6.7,images\Alpha_Romeo_Stelvio_Veloce_43217\img_1.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_2.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_3.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_4.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_5.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_6.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_7.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_8.jpg
Alpha Romeo,Stelvio,3390000,2026,Sprint,automatic,gas,Sedan,2000.0,8.0,200.0,95.0,6.9,"1,873","4,639","1,426",2820.0,5.0,4.0,58.0,330.0,4.7,images\Alpha_Romeo_Stelvio_Sprint_49162\img_1.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_2.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_3.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_4.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_5.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_6.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_7.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_8.jpg
