Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Alfa-romeo,Stelvio,Alfa Romeo Premium,2020,"1,950,000","73,000 KM",Red,Petrol,,Automatic,"1,995",,images_yallamotor\alfa-romeo_stelvio_2020_31703\img_1.jpeg; images_yallamotor\alfa-romeo_stelvio_2020_31703\img_2.jpeg; images_yallamotor\alfa-romeo_stelvio_2020_31703\img_3.jpeg; images_yallamotor\alfa-romeo_stelvio_2020_31703\img_4.jpeg; images_yallamotor\alfa-romeo_stelvio_2020_31703\img_5.jpeg; images_yallamotor\alfa-romeo_stelvio_2020_31703\img_6.jpeg; images_yallamotor\alfa-romeo_stelvio_2020_31703\img_7.jpeg
Audi,A3-sedan,A3 Sedan,2019,"1,650,000","78,000 KM",Other,Petrol,,automatic,"1,600",,images_yallamotor\audi_a3-sedan_2019_58539\img_1.jpg; images_yallamotor\audi_a3-sedan_2019_58539\img_2.jpg; images_yallamotor\audi_a3-sedan_2019_58539\img_3.jpg; images_yallamotor\audi_a3-sedan_2019_58539\img_4.jpg; images_yallamotor\audi_a3-sedan_2019_58539\img_5.jpg
Audi,A3-sedan,A3 Sedan 35 Tfsi Advanced 150 Hp,2020,"1,300,000","170,000 KM",Silver,Petrol,,Automatic,"1,000",,images_yallamotor\audi_a3-sedan_2020_76198\img_1.jpg; images_yallamotor\audi_a3-sedan_2020_76198\img_2.jpg; images_yallamotor\audi_a3-sedan_2020_76198\img_3.jpg
Audi,A3-sportback,A3 Sportback 1.4 S-Line,2000,"375,000","228,000 KM",Silver,Petrol,,Automatic,"1,395",,images_yallamotor\audi_a3-sportback_2000_89489\img_1.jpg; images_yallamotor\audi_a3-sportback_2000_89489\img_2.jpg; images_yallamotor\audi_a3-sportback_2000_89489\img_3.jpg; images_yallamotor\audi_a3-sportback_2000_89489\img_4.jpg; images_yallamotor\audi_a3-sportback_2000_89489\img_5.jpg; images_yallamotor\audi_a3-sportback_2000_89489\img_6.jpg
Audi,A3-sportback,A3 Sportback 1.4L (125 Hp),2012,"675,000","200,000 KM",Black,Petrol,,Automatic,"1,400",,images_yallamotor\audi_a3-sportback_2012_8236\img_1.jpg; images_yallamotor\audi_a3-sportback_2012_8236\img_2.jpg; images_yallamotor\audi_a3-sportback_2012_8236\img_3.jpg; images_yallamotor\audi_a3-sportback_2012_8236\img_4.jpg; images_yallamotor\audi_a3-sportback_2012_8236\img_5.jpg; images_yallamotor\audi_a3-sportback_2012_8236\img_6.jpg; images_yallamotor\audi_a3-sportback_2012_8236\img_7.jpg; images_yallamotor\audi_a3-sportback_2012_8236\img_8.jpg
Audi,A3-sportback,A3 Sportback Ambition 1.4 Tfsi,2015,"1,200,000","128,000 KM",Blue,Petrol,,Automatic,"1,395",,images_yallamotor\audi_a3-sportback_2015_29495\img_1.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_2.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_3.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_4.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_5.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_6.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_7.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_8.jpg; images_yallamotor\audi_a3-sportback_2015_29495\img_9.jpg
Aston-martin,Dbx,Aston Martin 4.0T V8,2021,"13,000,000","6,000 KM",Gray,Petrol,,Automatic,"4,000",,images_yallamotor\aston-martin_dbx_2021_57430\img_1.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_2.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_3.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_4.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_5.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_6.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_7.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_8.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_9.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_10.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_11.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_12.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_13.jpg; images_yallamotor\aston-martin_dbx_2021_57430\img_14.jpg
Aston-martin,Dbx,Aston Martin,2021,"13,000,000","3,000 KM",Beige,Petrol,,Automatic,"4,000",,images_yallamotor\aston-martin_dbx_2021_81999\img_1.jpg; images_yallamotor\aston-martin_dbx_2021_81999\img_2.jpg; images_yallamotor\aston-martin_dbx_2021_81999\img_3.jpg; images_yallamotor\aston-martin_dbx_2021_81999\img_4.jpg; images_yallamotor\aston-martin_dbx_2021_81999\img_5.jpg; images_yallamotor\aston-martin_dbx_2021_81999\img_6.jpg
Aston-martin,Dbx,Aston Martin 4.0T V8,2021,"13,000,000","6,000 KM",Gray,Petrol,,Automatic,"4,000",,images_yallamotor\aston-martin_dbx_2021_2541\img_1.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_2.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_3.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_4.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_5.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_6.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_7.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_8.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_9.jpg; images_yallamotor\aston-martin_dbx_2021_2541\img_10.jpg
Audi,A1,1.4L (122 Hp),2014,"730,000","138,000 KM",White,Petrol,,Automatic,"1,390",,images_yallamotor\audi_a1_2014_29096\img_1.jpeg; images_yallamotor\audi_a1_2014_29096\img_2.jpeg; images_yallamotor\audi_a1_2014_29096\img_3.jpeg; images_yallamotor\audi_a1_2014_29096\img_4.jpeg; images_yallamotor\audi_a1_2014_29096\img_5.jpeg
Audi,A3-sedan,A3 Sedan Attraction 1.4 Tfsi 122 Hp,2015,"1,150,000","122,000 KM",Silver,Petrol,,Automatic,"1,400",,images_yallamotor\audi_a3-sedan_2015_47852\img_1.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_2.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_3.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_4.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_5.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_6.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_7.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_8.jpeg; images_yallamotor\audi_a3-sedan_2015_47852\img_9.jpeg
Audi,A4,Base/Standard,2019,"1,190,000","168,000 KM",Black,Petrol,,-,"1,600",,images_yallamotor\audi_a4_2019_45913\img_1.jpg; images_yallamotor\audi_a4_2019_45913\img_2.jpg; images_yallamotor\audi_a4_2019_45913\img_3.jpg; images_yallamotor\audi_a4_2019_45913\img_4.jpg
Audi,A4,2.0L 211 Hp,2021,"2,100,000","42,000 KM",Gray,Petrol,,Automatic,"2,000",,images_yallamotor\audi_a4_2021_65544\img_1.jpg; images_yallamotor\audi_a4_2021_65544\img_2.jpg; images_yallamotor\audi_a4_2021_65544\img_3.jpg; images_yallamotor\audi_a4_2021_65544\img_4.jpg
Audi,A4,Base/Standard,2023,"2,750,000","4,000 KM",Black,Petrol,,-,"1,600",,images_yallamotor\audi_a4_2023_92545\img_1.jpg; images_yallamotor\audi_a4_2023_92545\img_2.jpg; images_yallamotor\audi_a4_2023_92545\img_3.jpg; images_yallamotor\audi_a4_2023_92545\img_4.jpg
Audi,A4,Base/Standard,2023,"2,395,000","4,000 KM",Black,Petrol,,-,"1,600",,images_yallamotor\audi_a4_2023_8611\img_1.jpg; images_yallamotor\audi_a4_2023_8611\img_2.jpg; images_yallamotor\audi_a4_2023_8611\img_3.jpg
Audi,A4,Base/Standard,2023,"2,400,000","4,000 KM",Gray,Petrol,,-,"1,600",,images_yallamotor\audi_a4_2023_21658\img_1.jpg; images_yallamotor\audi_a4_2023_21658\img_2.jpg; images_yallamotor\audi_a4_2023_21658\img_3.jpg; images_yallamotor\audi_a4_2023_21658\img_4.jpg
Audi,A6,2.0L (190 Hp),2012,"1,200,000","170,000 KM",Black,Petrol,,Automatic,"1,984",,images_yallamotor\audi_a6_2012_61510\img_1.jpg; images_yallamotor\audi_a6_2012_61510\img_2.jpg; images_yallamotor\audi_a6_2012_61510\img_3.jpg; images_yallamotor\audi_a6_2012_61510\img_4.jpg; images_yallamotor\audi_a6_2012_61510\img_5.jpg; images_yallamotor\audi_a6_2012_61510\img_6.jpg
Audi,A6,35 Tfsi (190 Hp),2014,"1,600,000","160,000 KM",White,Petrol,,Automatic,"2,000",,images_yallamotor\audi_a6_2014_78506\img_1.jpg; images_yallamotor\audi_a6_2014_78506\img_2.jpg; images_yallamotor\audi_a6_2014_78506\img_3.jpg; images_yallamotor\audi_a6_2014_78506\img_4.jpg
