Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Seat,Altea,Unspecified trim,2011.0,450000,"300,000
KM",Gray,Gas,Hatchback,Automatic,1600,4,images\Seat Altea 2011\car_img_1.jpg; images\Seat Altea 2011\car_img_2.jpg; images\Seat Altea 2011\car_img_3.jpg; images\Seat Altea 2011\car_img_4.jpg; images\Seat Altea 2011\car_img_5.jpg; images\Seat Altea 2011\car_img_6.jpg; images\Seat Altea 2011\car_img_7.jpg; images\Seat Altea 2011\car_img_8.jpg; images\Seat Altea 2011\car_img_9.jpg; images\Seat Altea 2011\car_img_10.jpg; images\Seat Altea 2011\car_img_11.jpg; images\Seat Altea 2011\car_img_12.jpg; images\Seat Altea 2011\car_img_13.jpg
Seat,Arona,1.0 A/T Style,2022.0,790000,"130,000
KM",White,Gas,Hatchback,Automatic,1000,3,images\Seat Arona 2022\car_img_1.jpg; images\Seat Arona 2022\car_img_2.jpg; images\Seat Arona 2022\car_img_3.jpg; images\Seat Arona 2022\car_img_4.jpg; images\Seat Arona 2022\car_img_5.jpg; images\Seat Arona 2022\car_img_6.jpg; images\Seat Arona 2022\car_img_7.jpg
Seat,Arona,Unspecified trim,2019.0,1000000,"67,000
KM",Blue,Gas,SUV,Automatic,1600,4,images\Seat Arona 2019\car_img_1.jpg; images\Seat Arona 2019\car_img_2.jpg; images\Seat Arona 2019\car_img_3.jpg; images\Seat Arona 2019\car_img_4.jpg; images\Seat Arona 2019\car_img_5.jpg; images\Seat Arona 2019\car_img_6.jpg; images\Seat Arona 2019\car_img_7.jpg; images\Seat Arona 2019\car_img_8.jpg
Seat,Arona,1.0 A/T Xperience,2022.0,950000,"63,000
KM",Red,Gas,SUV,Automatic,1000,3,images\Seat Arona 2022\car_img_1.jpg; images\Seat Arona 2022\car_img_2.jpg; images\Seat Arona 2022\car_img_3.jpg; images\Seat Arona 2022\car_img_4.jpg; images\Seat Arona 2022\car_img_5.jpg; images\Seat Arona 2022\car_img_6.jpg; images\Seat Arona 2022\car_img_7.jpg; images\Seat Arona 2022\car_img_8.jpg; images\Seat Arona 2022\car_img_9.jpg; images\Seat Arona 2022\car_img_10.jpg; images\Seat Arona 2022\car_img_11.jpg; images\Seat Arona 2022\car_img_12.jpg; images\Seat Arona 2022\car_img_13.jpg
Seat,Arona,Unspecified trim,2019.0,800000,"152,000
KM",Blue,Gas,SUV,Automatic,1400,4,images\Seat Arona 2019\car_img_1.jpg; images\Seat Arona 2019\car_img_2.jpg; images\Seat Arona 2019\car_img_3.jpg
Seat,Arona,1.6 A/T Reference,2021.0,920000,"70,000
KM",Silver,Gas,SUV,Automatic,1600,4,images\Seat Arona 2021\car_img_1.jpg; images\Seat Arona 2021\car_img_2.jpg; images\Seat Arona 2021\car_img_3.jpg; images\Seat Arona 2021\car_img_4.jpg; images\Seat Arona 2021\car_img_5.jpg
Seat,Arona,1.6 A/T FR,2021.0,950000,"111,100
KM",Silver,Diesel,SUV,Automatic,1600,4,images\Seat Arona 2021\car_img_1.jpg; images\Seat Arona 2021\car_img_2.jpg; images\Seat Arona 2021\car_img_3.jpg; images\Seat Arona 2021\car_img_4.jpg; images\Seat Arona 2021\car_img_5.jpg
Seat,Arona,1.0 A/T Xperience,2022.0,890000,"130,000
KM",White,Gas,SUV,Automatic,1000,3,images\Seat Arona 2022\car_img_1.jpg; images\Seat Arona 2022\car_img_2.jpg; images\Seat Arona 2022\car_img_3.jpg; images\Seat Arona 2022\car_img_4.jpg; images\Seat Arona 2022\car_img_5.jpg; images\Seat Arona 2022\car_img_6.jpg; images\Seat Arona 2022\car_img_7.jpg
Seat,ATECA,Unspecified trim,2021.0,990000,"230,000
KM",Navy Blue,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2021\car_img_1.jpg; images\Seat ATECA 2021\car_img_2.jpg; images\Seat ATECA 2021\car_img_3.jpg; images\Seat ATECA 2021\car_img_4.jpg; images\Seat ATECA 2021\car_img_5.jpg; images\Seat ATECA 2021\car_img_6.jpg
Seat,ATECA,1.4T Style,2020.0,1200000,"142,000
KM",Navy Blue,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2020\car_img_1.jpg; images\Seat ATECA 2020\car_img_2.jpg; images\Seat ATECA 2020\car_img_3.jpg; images\Seat ATECA 2020\car_img_4.jpg
Seat,ATECA,1.4 A/T FR,2019.0,1200000,"146,000
KM",White,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2019\car_img_1.jpg; images\Seat ATECA 2019\car_img_2.jpg; images\Seat ATECA 2019\car_img_3.jpg; images\Seat ATECA 2019\car_img_4.jpg; images\Seat ATECA 2019\car_img_5.jpg; images\Seat ATECA 2019\car_img_6.jpg; images\Seat ATECA 2019\car_img_7.jpg; images\Seat ATECA 2019\car_img_8.jpg
Seat,ATECA,1.4 A/T Style Plus.,2018.0,1080000,"99,000
KM",Champagne,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2018\car_img_1.jpg; images\Seat ATECA 2018\car_img_2.jpg; images\Seat ATECA 2018\car_img_3.jpg; images\Seat ATECA 2018\car_img_4.jpg; images\Seat ATECA 2018\car_img_5.jpg
Seat,ATECA,Style Plus,2025.0,1550000,"14,000
KM",Silver,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2025\car_img_1.jpg; images\Seat ATECA 2025\car_img_2.jpg; images\Seat ATECA 2025\car_img_3.jpg; images\Seat ATECA 2025\car_img_4.jpg; images\Seat ATECA 2025\car_img_5.jpg; images\Seat ATECA 2025\car_img_6.jpg; images\Seat ATECA 2025\car_img_7.jpg; images\Seat ATECA 2025\car_img_8.jpg; images\Seat ATECA 2025\car_img_9.jpg; images\Seat ATECA 2025\car_img_10.jpg; images\Seat ATECA 2025\car_img_11.jpg; images\Seat ATECA 2025\car_img_12.jpg; images\Seat ATECA 2025\car_img_13.jpg; images\Seat ATECA 2025\car_img_14.jpg; images\Seat ATECA 2025\car_img_15.jpg
Seat,ATECA,1.4 A/T Style Plus.,2020.0,1050000,"172,000
KM",Black,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2020\car_img_1.jpg; images\Seat ATECA 2020\car_img_2.jpg; images\Seat ATECA 2020\car_img_3.jpg; images\Seat ATECA 2020\car_img_4.jpg; images\Seat ATECA 2020\car_img_5.jpg; images\Seat ATECA 2020\car_img_6.jpg; images\Seat ATECA 2020\car_img_7.jpg; images\Seat ATECA 2020\car_img_8.jpg; images\Seat ATECA 2020\car_img_9.jpg; images\Seat ATECA 2020\car_img_10.jpg; images\Seat ATECA 2020\car_img_11.jpg; images\Seat ATECA 2020\car_img_12.jpg
Seat,ATECA,1.4 A/T Style Plus.,2020.0,1100000,"214,000
KM",Silver,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2020\car_img_1.jpg; images\Seat ATECA 2020\car_img_2.jpg; images\Seat ATECA 2020\car_img_3.jpg; images\Seat ATECA 2020\car_img_4.jpg; images\Seat ATECA 2020\car_img_5.jpg; images\Seat ATECA 2020\car_img_6.jpg; images\Seat ATECA 2020\car_img_7.jpg; images\Seat ATECA 2020\car_img_8.jpg
Seat,ATECA,1.4 A/T Style Plus.,2020.0,1200000,"89,000
KM",Blue,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2020\car_img_1.jpg; images\Seat ATECA 2020\car_img_2.jpg; images\Seat ATECA 2020\car_img_3.jpg; images\Seat ATECA 2020\car_img_4.jpg; images\Seat ATECA 2020\car_img_5.jpg
Seat,ATECA,1.4 A/T Style Plus.,2020.0,1100000,"125,000
KM",Red,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2020\car_img_1.jpg; images\Seat ATECA 2020\car_img_2.jpg; images\Seat ATECA 2020\car_img_3.jpg; images\Seat ATECA 2020\car_img_4.jpg; images\Seat ATECA 2020\car_img_5.jpg; images\Seat ATECA 2020\car_img_6.jpg
Seat,ATECA,1.4 A/T FR,2022.0,1550000,"99,000
KM",Red,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2022\car_img_1.jpg; images\Seat ATECA 2022\car_img_2.jpg; images\Seat ATECA 2022\car_img_3.jpg; images\Seat ATECA 2022\car_img_4.jpg; images\Seat ATECA 2022\car_img_5.jpg; images\Seat ATECA 2022\car_img_6.jpg; images\Seat ATECA 2022\car_img_7.jpg
Seat,ATECA,1.4T Style,2019.0,800000,"350,000
KM",Gray,Gas,SUV,Automatic,1400,4,images\Seat ATECA 2019\car_img_1.jpg
Seat,Cordoba,Unspecified trim,2001.0,160000,"350,000
KM",Turquoise,Gas,Sedan,Manual,1400,4,images\Seat Cordoba 2001\car_img_1.jpg; images\Seat Cordoba 2001\car_img_2.jpg; images\Seat Cordoba 2001\car_img_3.jpg
Seat,Ibiza,1.6 A/T Reference,2021.0,780000,"93,000
KM",Black,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2021\car_img_1.jpg; images\Seat Ibiza 2021\car_img_2.jpg; images\Seat Ibiza 2021\car_img_3.jpg; images\Seat Ibiza 2021\car_img_4.jpg
Seat,Ibiza,1.6 A/T FR Plus,2019.0,1000000,"147
KM",Maroon,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2019\car_img_1.jpg
Seat,Ibiza,1.6 A/T FR Plus,2019.0,800000,"136,000
KM",Black,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2019\car_img_1.jpg; images\Seat Ibiza 2019\car_img_2.jpg; images\Seat Ibiza 2019\car_img_3.jpg; images\Seat Ibiza 2019\car_img_4.jpg; images\Seat Ibiza 2019\car_img_5.jpg; images\Seat Ibiza 2019\car_img_6.jpg; images\Seat Ibiza 2019\car_img_7.jpg; images\Seat Ibiza 2019\car_img_8.jpg; images\Seat Ibiza 2019\car_img_9.jpg; images\Seat Ibiza 2019\car_img_10.jpg; images\Seat Ibiza 2019\car_img_11.jpg; images\Seat Ibiza 2019\car_img_12.jpg; images\Seat Ibiza 2019\car_img_13.jpg; images\Seat Ibiza 2019\car_img_14.jpg; images\Seat Ibiza 2019\car_img_15.jpg
